Timestamp,How Challenging was the match? (1-5),How engaged were you during play? (1-5),How much did you enjoy playing? (1-5),How well balanced was the game's difficulty? (1-5),Did you notice anything strange during the match?
2023/05/22 3:36:27 pm EEST,3,3,3,3,No
2023/05/22 4:49:19 pm EEST,1,5,5,3,No
2023/05/22 5:27:28 pm EEST,3,5,5,3,Yes
2023/05/22 6:08:52 pm EEST,1,5,5,1,No
2023/05/22 7:08:25 pm EEST,3,5,5,3,No
2023/05/22 8:10:06 pm EEST,4,5,4,4,No
2023/05/22 8:56:45 pm EEST,4,4,5,3,No
2023/05/22 9:14:53 pm EEST,3,4,4,3,No
2023/05/23 9:41:30 am EEST,4,5,5,4,No
2023/05/23 10:02:16 am EEST,2,5,5,4,No
2023/05/23 11:12:19 am EEST,4,5,5,4,No
2023/05/23 11:46:44 am EEST,3,2,3,3,No
2023/05/23 1:05:43 pm EEST,3,4,5,4,Yes
2023/05/23 7:22:01 pm EEST,3,4,3,3,No
2023/05/23 8:26:57 pm EEST,3,4,4,3,No
2023/05/23 9:04:09 pm EEST,4,3,4,4,No
2023/05/24 8:39:55 pm EEST,3,4,4,3,Yes
2023/05/24 9:33:41 pm EEST,4,4,4,4,No
2023/05/25 2:33:39 pm EEST,2,4,4,3,No
